epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,907.982,1.64783,1.49354,1.85731,0.00678,1.68359,0.4587,0.43666,0.4324,0.23619,0.4702,0.42913,0.43331,0.20218,1.60644,1.29447,1.77224,0.0094,0,0.0015556,0.0015556,0.0015556
29,940.086,1.65089,1.47375,1.83317,0.00657,1.50772,0.50888,0.51796,0.52236,0.29229,0.50965,0.52104,0.53561,0.25536,1.49477,1.20851,1.64636,0.00857,0,0.00155148,0.00155148,0.00155148
30,972.252,1.64599,1.50062,1.82068,0.00681,1.55013,0.46657,0.48584,0.47211,0.24935,0.48175,0.50138,0.46233,0.19943,1.60182,1.37649,1.81315,0.00905,0,0.00154735,0.00154735,0.00154735
31,1004.58,1.66416,1.47114,1.84558,0.00655,1.56944,0.50736,0.52404,0.47242,0.28078,0.53052,0.54136,0.49176,0.23523,1.55253,1.35658,1.87218,0.00871,0,0.00154323,0.00154323,0.00154323
32,1036.66,1.63315,1.48539,1.8064,0.00638,1.52286,0.55872,0.59783,0.55814,0.29465,0.55051,0.58893,0.54313,0.2465,1.55955,1.39453,1.93021,0.00898,0,0.0015391,0.0015391,0.0015391
33,1068.89,1.62154,1.46253,1.7548,0.00643,1.44195,0.47484,0.57182,0.51769,0.29572,0.46684,0.58621,0.51795,0.23255,1.51063,1.31798,1.97012,0.00868,0,0.00153497,0.00153497,0.00153497
34,1101.12,1.60201,1.41706,1.74588,0.00629,1.42284,0.6837,0.46712,0.54129,0.30103,0.66586,0.45737,0.53284,0.25427,1.51318,1.29933,2.02695,0.00854,0,0.00153085,0.00153085,0.00153085
35,1133.4,1.63784,1.5105,1.77281,0.00647,1.53578,0.57089,0.50919,0.52681,0.28941,0.5695,0.50741,0.51436,0.23709,1.60833,1.32996,1.69517,0.00914,0,0.00152672,0.00152672,0.00152672
36,1165.64,1.63316,1.48363,1.82501,0.00655,1.66516,0.558,0.50113,0.50573,0.27243,0.58053,0.49401,0.49863,0.21366,1.49295,1.25928,1.80746,0.00854,0,0.0015226,0.0015226,0.0015226
37,1197.76,1.638,1.47942,1.81759,0.00648,1.60936,0.59884,0.50213,0.52919,0.27728,0.59832,0.49306,0.52071,0.21689,1.54276,1.3532,1.74565,0.0085,0,0.00151847,0.00151847,0.00151847
38,1229.9,1.60461,1.46158,1.79076,0.00621,1.49047,0.52715,0.51358,0.53069,0.31842,0.51492,0.56805,0.53431,0.25193,1.49973,1.24845,1.69332,0.0082,0,0.00151434,0.00151434,0.00151434
39,1262.12,1.59901,1.43009,1.75038,0.00618,1.47065,0.56904,0.49818,0.51384,0.30202,0.55839,0.4875,0.5041,0.22506,1.5031,1.38346,1.82137,0.00864,0,0.00151022,0.00151022,0.00151022
