epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1069.15,1.6395,1.49217,1.84765,0.00685,1.68007,0.50448,0.50888,0.44552,0.25097,0.53537,0.53996,0.48191,0.22675,1.52046,1.26882,1.88918,0.00846,0,0.0015556,0.0015556,0.0015556
29,1105.34,1.66752,1.47204,1.82551,0.00667,1.53201,0.52257,0.55214,0.5451,0.29965,0.54104,0.58715,0.59069,0.27555,1.59337,1.24457,1.77422,0.00911,0,0.00155148,0.00155148,0.00155148
30,1141.56,1.67484,1.49366,1.75717,0.00689,1.51364,0.52986,0.59532,0.5057,0.27633,0.53563,0.60422,0.50907,0.2344,1.68898,1.33972,1.82121,0.00964,0,0.00154735,0.00154735,0.00154735
31,1177.85,1.65779,1.48493,1.79582,0.00648,1.54136,0.48714,0.53085,0.46603,0.25836,0.47876,0.52316,0.45892,0.21615,nan,nan,nan,nan,0,0.00154323,0.00154323,0.00154323
32,1214.06,1.61129,1.47985,1.79462,0.00637,1.48862,0.60857,0.47909,0.51716,0.27983,0.50939,0.59295,0.52615,0.22734,1.52577,1.35543,1.85645,0.0085,0,0.0015391,0.0015391,0.0015391
33,1250.33,1.61441,1.46012,1.74768,0.00637,1.51167,0.52263,0.50755,0.49886,0.29232,0.51571,0.50121,0.50354,0.22336,1.5228,1.38008,1.94364,0.00849,0,0.00153497,0.00153497,0.00153497
34,1287,1.55027,1.41704,1.73011,0.00603,1.47452,0.47147,0.54597,0.51026,0.29912,0.55179,0.49449,0.52956,0.22913,1.46555,1.28556,1.85203,0.00818,0,0.00153085,0.00153085,0.00153085
35,1323.32,1.59961,1.48119,1.75774,0.0063,1.48897,0.55657,0.5231,0.56513,0.31979,0.54892,0.51776,0.55363,0.24029,1.50409,1.34927,2.23134,0.0085,0,0.00152672,0.00152672,0.00152672
36,1359.87,1.61558,1.45741,1.74109,0.00644,1.57965,0.60222,0.48248,0.55811,0.32031,0.60045,0.48453,0.55095,0.25155,1.47362,1.28515,1.8073,0.00818,0,0.0015226,0.0015226,0.0015226
37,1396.11,1.64311,1.4979,1.78536,0.00647,1.49301,0.47816,0.58135,0.49804,0.28272,0.5047,0.58229,0.52592,0.23401,1.54778,1.41009,1.87356,0.00863,0,0.00151847,0.00151847,0.00151847
38,1432.28,1.58253,1.46466,1.77615,0.00611,1.46358,0.5933,0.49501,0.56258,0.33457,0.58996,0.51028,0.57326,0.27742,1.45449,1.24725,1.80983,0.00813,0,0.00151434,0.00151434,0.00151434
39,1468.66,1.5876,1.39548,1.75801,0.0062,1.48635,0.50269,0.52171,0.50316,0.28569,0.49654,0.52379,0.492,0.21954,1.46607,1.37929,1.90255,0.00829,0,0.00151022,0.00151022,0.00151022
40,1504.92,1.59427,1.44271,1.7337,0.00622,1.5099,0.60095,0.50944,0.55298,0.30957,0.61764,0.52142,0.55525,0.25418,1.52763,1.29234,1.82533,0.00858,0,0.00150609,0.00150609,0.00150609
41,1541.33,1.61311,1.41778,1.72771,0.00634,1.43414,0.55009,0.58181,0.51805,0.28459,0.48412,0.58715,0.48804,0.20663,1.53647,1.37553,1.81117,0.00849,0,0.00150197,0.00150197,0.00150197
42,1577.71,1.59322,1.41759,1.7342,0.00631,1.49516,0.45832,0.59373,0.47667,0.28608,0.46426,0.61112,0.47838,0.22305,1.44011,1.36615,1.88806,0.00804,0,0.00149784,0.00149784,0.00149784
43,1614.33,1.5613,1.41349,1.71465,0.00606,1.52465,0.53498,0.57375,0.52257,0.32453,0.55201,0.59238,0.55503,0.2559,1.49641,1.1911,1.78511,0.00866,0,0.00149372,0.00149372,0.00149372
44,1650.76,1.56619,1.41067,1.68464,0.0061,1.45096,0.51717,0.57517,0.49309,0.28009,0.52423,0.58715,0.50675,0.23936,1.56667,1.29396,1.93504,0.0088,0,0.00148959,0.00148959,0.00148959
45,1687.24,1.55889,1.36962,1.67017,0.00616,1.4391,0.51774,0.52782,0.47064,0.26125,0.5608,0.56021,0.52633,0.22105,1.5961,1.36473,1.85574,0.00897,0,0.00148546,0.00148546,0.00148546
46,1723.65,1.58263,1.45119,1.71065,0.00625,1.48649,0.55901,0.47539,0.509,0.31563,0.52667,0.51122,0.52496,0.2356,nan,nan,nan,nan,0,0.00148134,0.00148134,0.00148134
47,1760.09,1.55047,1.43369,1.67927,0.00609,1.4617,0.50473,0.53424,0.48858,0.28764,0.53637,0.54445,0.50351,0.23768,1.49245,1.57752,1.89515,0.00823,0,0.00147721,0.00147721,0.00147721
48,1796.3,1.54721,1.40767,1.68341,0.00615,1.48995,0.57277,0.55298,0.50547,0.3098,0.56182,0.55592,0.5008,0.25653,1.39594,1.31301,1.75074,0.00773,0,0.00147309,0.00147309,0.00147309
49,1832.63,1.57903,1.48196,1.73047,0.00633,1.44772,0.521,0.62357,0.54401,0.31659,0.52185,0.62713,0.5301,0.23632,1.50903,1.33399,1.83794,0.00859,0,0.00146896,0.00146896,0.00146896
50,1868.97,1.5711,1.45487,1.70261,0.00613,1.48793,0.4514,0.52462,0.49924,0.27478,0.45001,0.51975,0.50005,0.22585,1.51912,1.28779,1.75987,0.00842,0,0.00146483,0.00146483,0.00146483
51,1905.4,1.56296,1.40125,1.72511,0.00607,1.53377,0.55256,0.38322,0.47504,0.26886,0.54227,0.37788,0.46211,0.20926,1.52415,1.33547,2.45633,0.00857,0,0.00146071,0.00146071,0.00146071
52,1941.79,1.59239,1.40319,1.73012,0.00618,1.49796,0.59073,0.49542,0.50936,0.28679,0.59358,0.49898,0.51323,0.22693,1.50596,1.25156,1.86025,0.00841,0,0.00145658,0.00145658,0.00145658
53,1978.07,1.60096,1.41472,1.77769,0.00633,1.49143,0.62014,0.47669,0.52474,0.29297,0.61538,0.47642,0.51862,0.25547,1.49321,1.21004,1.77313,0.00859,0,0.00145246,0.00145246,0.00145246
54,2014.5,1.56061,1.39751,1.69002,0.00607,1.46709,0.6024,0.49337,0.51098,0.26016,0.62734,0.51552,0.54013,0.23946,1.49686,1.21553,1.83322,0.00892,0,0.00144833,0.00144833,0.00144833
55,2050.78,1.5813,1.41911,1.69564,0.00632,1.45103,0.56332,0.57564,0.57445,0.32064,0.56481,0.56232,0.5692,0.23504,1.49351,1.39815,1.65416,0.00841,0,0.00144421,0.00144421,0.00144421
56,2087.13,1.56254,1.39753,1.6538,0.00611,1.44409,0.55033,0.52142,0.56201,0.30584,0.55612,0.52807,0.56723,0.2453,1.5028,1.32902,1.79857,0.00855,0,0.00144008,0.00144008,0.00144008
57,2123.4,1.54737,1.37466,1.65712,0.00601,1.4203,0.65136,0.57525,0.58126,0.32052,0.67785,0.59388,0.59652,0.27734,1.46801,1.22485,1.78855,0.00812,0,0.00143595,0.00143595,0.00143595
58,2159.81,1.5502,1.40036,1.65915,0.006,1.42614,0.54049,0.51405,0.50274,0.28595,0.53453,0.51227,0.50513,0.2344,1.48099,1.27339,2.33107,0.0081,0,0.00143183,0.00143183,0.00143183
59,2196.12,1.52037,1.37007,1.64961,0.00598,1.44681,0.56154,0.5081,0.54635,0.33016,0.57452,0.50029,0.54118,0.24755,1.43406,1.35441,1.95273,0.00807,0,0.0014277,0.0014277,0.0014277
60,2232.37,1.53683,1.38726,1.66685,0.00604,1.44198,0.6024,0.50409,0.5091,0.2935,0.61307,0.51535,0.52314,0.2412,nan,nan,nan,nan,0,0.00142358,0.00142358,0.00142358
61,2268.73,1.55208,1.39573,1.66779,0.00623,1.47991,0.50661,0.54241,0.5151,0.28597,0.52932,0.54503,0.54311,0.21434,1.48967,1.26728,1.89718,0.00821,0,0.00141945,0.00141945,0.00141945
62,2304.88,1.54932,1.4253,1.68995,0.00619,1.43957,0.63324,0.54212,0.57896,0.32194,0.62765,0.53604,0.57804,0.27842,nan,nan,nan,nan,0,0.00141532,0.00141532,0.00141532
63,2341.2,1.51828,1.33897,1.64177,0.00588,1.34126,0.55516,0.59401,0.5851,0.34462,0.57291,0.57127,0.58193,0.27097,1.45622,1.26715,1.75375,0.00829,0,0.0014112,0.0014112,0.0014112
64,2377.85,1.56796,1.42622,1.65346,0.00603,1.43357,0.50467,0.53944,0.49548,0.27391,0.53956,0.56162,0.54024,0.24091,1.57911,1.26408,1.87985,0.0088,0,0.00140707,0.00140707,0.00140707
